Category ID,Category Name,Tone,text
0,Sports,Casual / Informal,"Man, our whole team was cheering so loud when we finally won the championship match in overtime. I was very proud that we managed to win on penalty kicks. This makes me even prouder.

""I didn't play much during the winter, but I am back now. We are winning games and we were able to score goals in every game. We played so well, and we had a lot of chances to win, maybe we were unlucky, but all the same, it's great to see how great a team we are. It's a great feeling right now.""

With his first major championship already won at home, he hopes to continue to make it happen.

""We have the biggest opportunity to win the Copa America,"" he said. ""It's not hard to imagine if we kept on winning. Hopefully this will give us the confidence to continue. All I can say now is thank you to everybody, the fans here, my teammates and of course the coaches. I can't thank them enough."""
0,Sports,Casual / Informal,"I was literally losing my voice screaming from the bleachers during the final quarter of the game. I remember seeing the big screen, seeing the play clock, seeing where we were, and I was just in shock.""

As a freshman at Florida, Gee had nine tackles and three passes defensed. Before he went to FSU, he had attended St. Thomas Aquinas High School in Fort Pierce, where former Redshirt-Jr. Cornerback Kevin Jenkins was a teammate of the Florida Gators. They were childhood friends as Gee and his brother were known for their ability to play catch on the beach or on the deck of their grandfather's home just outside Fort Pierce.

Jenkins played football at St. Thomas Aquinas from 1992-96, a span of 18 seasons. Jenkins has been featured on ESPN's College GameDay with Chris Fowler.

""When I got to Florida, the first thing I was kind of looking forward to was having my brothers around to help me. So that was just important but I knew just how big a part Kevin was, and"
0,Sports,Casual / Informal,"Honestly, watching that athlete break the world record live in the stadium gave me literal chills.

I never went against the grain of the way I was raised in my high school or college days. I was one of those kids who was always the ""nice one"" in class or in the locker room. I was the kid that did not get into heated discussions or arguments and it probably didn't affect how I was in the classroom or on the field.

But with so many people telling me I couldn't do this thing I love, I started doubting my own ability to play ball the way that I could. It took me a long time to realize that all I needed to do was push through doubt and keep doing what the coaches told me I could:

""This kid's been playing basketball for almost as long as I have. You're ready, you're a little older, you're a little taller than me. The weight's just gonna be different.""

I'll never forget watching Jordan go back and forth with a guy from Alabama in practice and"
0,Sports,Casual / Informal,"Bro, our fan section went absolutely insane when he hit that clutch three-pointer at the buzzer. His play throughout the season was very encouraging to hear. His work ethic and attitude throughout the year were inspiring. I hope we can enjoy the last two years, not just the first two.

""He had so much on his plate, it's kind of mind-boggling that he had the time and the energy, but he did it.""

Pau was named the conference's first-team all-league on Sunday. He averages 21.1 points and 8.4 rebounds per game for UW.

The Huskies will return two players who will be in double-figures, with sophomore point guard John Gillon (20.4 points and 8.7 rebounds) and sophomore guard Kyle Washington (18.5 points, 5.1 rebounds). Gillon was the most dangerous shooter for the Huskies this season, making 57 percent of his shots.

Washington, UW's leading rebounder this season (12.6 per game) made a big"
0,Sports,Casual / Informal,"I can't believe we pulled off that win today, everyone was hugging and high-fiving on the field. You know I've done that a hundred times at this university.""

A year after missing the first eight games of the season with a sprained ankle, the Bulldogs have won four of their six games in the last 12 weekends, the last two by a combined score of 98-12. They have scored 40 or more points in each game.

""We've gone from a year to year of really not being able to do anything. In Year 1 and Year 2 and I think in Year 1, we were a good team in almost every game,"" said senior defensive lineman Andrew Williamson. ""This semester has really been our best semester since I've been here. So yeah, all of that stuff comes together when we're at our best.""

In addition to his play, Williamson had a big hand in the victory, rushing 21 times for 128 yards to lead the team.

""He's an important part of our offense,"" said senior receiver J.J. Stewart."
0,Sports,Casual / Informal,"My coach ran us through so many intense conditioning drills today that my legs are totally fried. I'm so exhausted. I love you, coach,"" he cried, wiping her tears.

""I love you too so much. I thought you were going to die. Now I know there's a reason for everything. I'm glad I'm going to tell you the name,"" she said.

The former student came to see the coach at 9:45 a.m. today. They went to the locker room about 10:30 a.m. before having the conversation at the locker room.

""We just told each other we didn't want to be in the same room together ever again,"" the coach said. ""We've told each other a million times not to bother each other again.""

""I wanted him to be like, you know what, you've got my back. I told him he can stop worrying about all those people that know we're not supposed to be out late together and that we've got to figure out a better system,"""
0,Sports,Casual / Informal,"We were all packed into the front row, wearing our team jerseys and singing the victory chants. Then we were out on the ice, and that's when it really started to sink in. You could feel the stadium vibrating with excitement. And it was electric!

Our entire team was jumping up and down. It all came together. We're the Kings!

After the game, we went out for some postgame shakes, burgers, and a few shots of Moet. We ate it in silence as we watched the Kings win three straight games. It was a great moment.

My friend and I are both from Los Angeles. I spent about 12 years at the Staples Center, so I remember watching the Kings when I was growing up. And now, finally, after 14 years, we're able to see them play. I'm so stoked!

And it was just one game. One game in four-on-four. I don't think we'll be in that kind of place for much longer. But now you see it: that place can"
0,Sports,Casual / Informal,"That goalie made an absolutely insane save in the last ten seconds, and the whole crowd erupted. It was absolutely incredible.""

""The entire place was going nuts.""

What a great moment. I could not be happier.

You have to be, because it doesn't get much better than a 2-1 shootout win in overtime. The best is yet to come, though. When Columbus gets back to the postseason this year, they can start off the postseason on a high note and maybe even change their fortunes.

I spoke to the entire Blues team after the game. It didn't feel like the guys were in a slump. There was a common thought going around the locker room, ""This team should just get out and play.""

That is exactly what we're going to do. We're going to get out there and play our game.

To the Columbus crowd. Thank you for cheering us on and booing us when it wasn't needed. That was an unforgettable moment for our entire team."
0,Sports,Casual / Informal,"I love the energy at live matches, there's nothing like thousands of fans screaming at the top of their lungs. That's an amazing feeling and the players can feel it too, so it's a really good atmosphere, very positive and I think it should inspire them to win the league."""
0,Sports,Casual / Informal,"Our school team completely dominated the tournament today, and we celebrated by dumping Gatorade on the coach.

I like that the Gatorade came after the coach, and the players got to enjoy it.

I also noticed, during the first game of the tournament, there was a female Gatorade mascot (the cheerleaders looked pretty good).

Anyway, this isn't about that. This is about that the Gatorade was dumped from the sidelines in an empty arena and then used for the cheerleaders after the game.

Now, it is true that the Gatorade was put on the sidelines but the cheerleaders were in the stands and the fans were eating a hot dog.

No one had time to notice them and take their Gatorade.

The best way to show respect to the coach is to tell them you love them for the job they do and let others talk and be disrespectful if they do not.

The best way to show respect to the fans is to treat them all like family and say ""You should go buy"
